notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.2593064+05:30	 Info 	DESKTOP-0D5EHEU 	 getUUID() 	 System UUID : 4C4C4544-004C-5610-804A-B2C04F323332
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.2813921+05:30	 Info 	DESKTOP-0D5EHEU 	 Agent() 	 Agent running in Microsoft Windows NT 6.3.9600.0
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.6277058+05:30	 Info 	DESKTOP-0D5EHEU 	 Agent() 	 debug mode is set as True
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.6277058+05:30	 Info 	DESKTOP-0D5EHEU 	 dataQueueWriteToFile() 	 Agent Version 2.0.19.0
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.6277058+05:30	 Info 	DESKTOP-0D5EHEU 	 dataQueueWriteToFile() 	 Thread Started
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.6277058+05:30	 Info 	DESKTOP-0D5EHEU 	 notifnQWriteToFile() 	 Thread Started
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T10:04:26.6277058+05:30	 Info 	DESKTOP-0D5EHEU 	 debugQWriteToFile() 	 Thread Started
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:58.1888419+05:30	 Info 	DESKTOP-0D5EHEU 	 getUUID() 	 System UUID : 4C4C4544-004C-5610-804A-B2C04F323332
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:58.3891744+05:30	 Info 	DESKTOP-0D5EHEU 	 Agent() 	 Agent running in Microsoft Windows NT 6.3.9600.0
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:59.3566746+05:30	 Info 	DESKTOP-0D5EHEU 	 Agent() 	 debug mode is set as True
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:59.3566746+05:30	 Info 	DESKTOP-0D5EHEU 	 dataQueueWriteToFile() 	 Agent Version 2.0.19.0
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:59.3724288+05:30	 Info 	DESKTOP-0D5EHEU 	 dataQueueWriteToFile() 	 Thread Started
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:59.3724288+05:30	 Info 	DESKTOP-0D5EHEU 	 notifnQWriteToFile() 	 Thread Started
notification###4C4C4544-004C-5610-804A-B2C04F323332	2017-05-28T17:29:59.3724288+05:30	 Info 	DESKTOP-0D5EHEU 	 debugQWriteToFile() 	 Thread Started
